cd_industry,ds_naics_industry,ds_naics_sector,ds_naics_supersector,ds_naics_domain,cd_sic_code,ds_sic_description,cd_industry_sector
11241,Sheep farming,"Agriculture, forestry, fishing and hunting",Natural resources and mining,Goods-producing,,,11
112410,Sheep farming,"Agriculture, forestry, fishing and hunting",Natural resources and mining,Goods-producing,214,Sheep and Goats,11
11242,Goat farming,"Agriculture, forestry, fishing and hunting",Natural resources and mining,Goods-producing,,,11
112420,Goat farming,"Agriculture, forestry, fishing and hunting",Natural resources and mining,Goods-producing,214,Sheep and Goats,11
1125,Aquaculture,"Agriculture, forestry, fishing and hunting",Natural resources and mining,Goods-producing,,,11
11251,Aquaculture,"Agriculture, forestry, fishing and hunting",Natural resources and mining,Goods-producing,,,11
112511,Finfish farming and fish hatcheries,"Agriculture, forestry, fishing and hunting",Natural resources and mining,Goods-producing,273,Animal Aquaculture,11
112512,Shellfish farming,"Agriculture, forestry, fishing and hunting",Natural resources and mining,Goods-producing,273,Animal Aquaculture,11
112519,Other aquaculture,"Agriculture, forestry, fishing and hunting",Natural resources and mining,Goods-producing,139,"Field Crops, Except Cash Grain",11
1129,Other animal production,"Agriculture, forestry, fishing and hunting",Natural resources and mining,Goods-producing,,,11
11291,Apiculture,"Agriculture, forestry, fishing and hunting",Natural resources and mining,Goods-producing,,,11
112910,Apiculture,"Agriculture, forestry, fishing and hunting",Natural resources and mining,Goods-producing,279,"Animal Specialties, Nec",11
11292,Horses and other equine production,"Agriculture, forestry, fishing and hunting",Natural resources and mining,Goods-producing,,,11
112920,Horses and other equine production,"Agriculture, forestry, fishing and hunting",Natural resources and mining,Goods-producing,272,Horses and Other Equines,11
11293,Fur-bearing animal and rabbit production,"Agriculture, forestry, fishing and hunting",Natural resources and mining,Goods-producing,,,11
112930,Fur-bearing animal and rabbit production,"Agriculture, forestry, fishing and hunting",Natural resources and mining,Goods-producing,271,Fur-bearing Animals and Rabbits,11
11299,All other animal production,"Agriculture, forestry, fishing and hunting",Natural resources and mining,Goods-producing,,,11
238142,Nonresidential masonry contractors,Construction,Construction,Goods-producing,,,23
112990,All other animal production,"Agriculture, forestry, fishing and hunting",Natural resources and mining,Goods-producing,219,"General Livestock, Nec",11
113,Forestry and logging,"Agriculture, forestry, fishing and hunting",Natural resources and mining,Goods-producing,,,11
1131,Timber tract operations,"Agriculture, forestry, fishing and hunting",Natural resources and mining,Goods-producing,,,11
11311,Timber tract operations,"Agriculture, forestry, fishing and hunting",Natural resources and mining,Goods-producing,,,11
113110,Timber tract operations,"Agriculture, forestry, fishing and hunting",Natural resources and mining,Goods-producing,811,Timber Tracts,11
1132,Forest nursery and gathering forest products,"Agriculture, forestry, fishing and hunting",Natural resources and mining,Goods-producing,,,11
2212,Natural gas distribution,Utilities,"Trade, transportation, and utilities",Goods-producing,,,22
11321,Forest nursery and gathering forest products,"Agriculture, forestry, fishing and hunting",Natural resources and mining,Goods-producing,,,11
22131,Water supply and irrigation systems,Utilities,"Trade, transportation, and utilities",Goods-producing,,,22
113210,Forest nursery and gathering forest products,"Agriculture, forestry, fishing and hunting",Natural resources and mining,Goods-producing,831,Forest Products,11
1133,Logging,"Agriculture, forestry, fishing and hunting",Natural resources and mining,Goods-producing,,,11
11331,Logging,"Agriculture, forestry, fishing and hunting",Natural resources and mining,Goods-producing,,,11
113310,Logging,"Agriculture, forestry, fishing and hunting",Natural resources and mining,Goods-producing,2411,Logging,11
114,"Fishing, hunting and trapping","Agriculture, forestry, fishing and hunting",Natural resources and mining,Goods-producing,,,11
1141,Fishing,"Agriculture, forestry, fishing and hunting",Natural resources and mining,Goods-producing,,,11
11411,Fishing,"Agriculture, forestry, fishing and hunting",Natural resources and mining,Goods-producing,,,11
114111,Finfish fishing,"Agriculture, forestry, fishing and hunting",Natural resources and mining,Goods-producing,912,Finfish,11
114112,Shellfish fishing,"Agriculture, forestry, fishing and hunting",Natural resources and mining,Goods-producing,913,Shellfish,11
114119,Other marine fishing,"Agriculture, forestry, fishing and hunting",Natural resources and mining,Goods-producing,919,Miscellaneous Marine Products,11
1142,Hunting and trapping,"Agriculture, forestry, fishing and hunting",Natural resources and mining,Goods-producing,,,11
11421,Hunting and trapping,"Agriculture, forestry, fishing and hunting",Natural resources and mining,Goods-producing,,,11
114210,Hunting and trapping,"Agriculture, forestry, fishing and hunting",Natural resources and mining,Goods-producing,971,"Hunting, Trapping, Game Propagation",11
115,Agriculture and forestry support activities,"Agriculture, forestry, fishing and hunting",Natural resources and mining,Goods-producing,,,11
1151,Support activities for crop production,"Agriculture, forestry, fishing and hunting",Natural resources and mining,Goods-producing,,,11
11511,Support activities for crop production,"Agriculture, forestry, fishing and hunting",Natural resources and mining,Goods-producing,,,11
115111,Cotton ginning,"Agriculture, forestry, fishing and hunting",Natural resources and mining,Goods-producing,724,Cotton Ginning,11
115112,"Soil preparation, planting, and cultivating","Agriculture, forestry, fishing and hunting",Natural resources and mining,Goods-producing,711,Soil Preparation Services,11
115113,"Crop harvesting, primarily by machine","Agriculture, forestry, fishing and hunting",Natural resources and mining,Goods-producing,722,Crop Harvesting,11
115114,Other postharvest crop activities,"Agriculture, forestry, fishing and hunting",Natural resources and mining,Goods-producing,723,Crop Preparation Services For Market,11
115115,Farm labor contractors and crew leaders,"Agriculture, forestry, fishing and hunting",Natural resources and mining,Goods-producing,761,Farm Labor Contractors,11
115116,Farm management services,"Agriculture, forestry, fishing and hunting",Natural resources and mining,Goods-producing,762,Farm Management Services,11
1152,Support activities for animal production,"Agriculture, forestry, fishing and hunting",Natural resources and mining,Goods-producing,,,11
11521,Support activities for animal production,"Agriculture, forestry, fishing and hunting",Natural resources and mining,Goods-producing,,,11
115210,Support activities for animal production,"Agriculture, forestry, fishing and hunting",Natural resources and mining,Goods-producing,751,"Livestock Services, Except Veterinary",11
1153,Support activities for forestry,"Agriculture, forestry, fishing and hunting",Natural resources and mining,Goods-producing,,,11
11531,Support activities for forestry,"Agriculture, forestry, fishing and hunting",Natural resources and mining,Goods-producing,,,11
115310,Support activities for forestry,"Agriculture, forestry, fishing and hunting",Natural resources and mining,Goods-producing,851,Forestry Services,11
211,Oil and gas extraction,"Mining, quarrying, and oil and gas extraction",Natural resources and mining,Goods-producing,,,21
2111,Oil and gas extraction,"Mining, quarrying, and oil and gas extraction",Natural resources and mining,Goods-producing,,,21
21111,Oil and gas extraction,"Mining, quarrying, and oil and gas extraction",Natural resources and mining,Goods-producing,,,21
211111,Crude petroleum and natural gas extraction,"Mining, quarrying, and oil and gas extraction",Natural resources and mining,Goods-producing,,,21
211112,Natural gas liquid extraction,"Mining, quarrying, and oil and gas extraction",Natural resources and mining,Goods-producing,,,21
21112,Crude petroleum extraction,"Mining, quarrying, and oil and gas extraction",Natural resources and mining,Goods-producing,,,21
211120,Crude petroleum extraction,"Mining, quarrying, and oil and gas extraction",Natural resources and mining,Goods-producing,1311,Crude Petroleum and Natural Gas,21
21113,Natural gas extraction,"Mining, quarrying, and oil and gas extraction",Natural resources and mining,Goods-producing,,,21
211130,Natural gas extraction,"Mining, quarrying, and oil and gas extraction",Natural resources and mining,Goods-producing,1321,Natural Gas Liquids,21
212,"Mining, except oil and gas","Mining, quarrying, and oil and gas extraction",Natural resources and mining,Goods-producing,,,21
2121,Coal mining,"Mining, quarrying, and oil and gas extraction",Natural resources and mining,Goods-producing,,,21
21211,Coal mining,"Mining, quarrying, and oil and gas extraction",Natural resources and mining,Goods-producing,,,21
212111,Bituminous coal and lignite surface mining,"Mining, quarrying, and oil and gas extraction",Natural resources and mining,Goods-producing,1221,Bituminous Coal and Lignite-surface Mining,21
212112,Bituminous coal underground mining,"Mining, quarrying, and oil and gas extraction",Natural resources and mining,Goods-producing,1222,Bituminous Coal-underground Mining,21
212113,Anthracite mining,"Mining, quarrying, and oil and gas extraction",Natural resources and mining,Goods-producing,1231,Anthracite Mining,21
2122,Metal ore mining,"Mining, quarrying, and oil and gas extraction",Natural resources and mining,Goods-producing,,,21
21221,Iron ore mining,"Mining, quarrying, and oil and gas extraction",Natural resources and mining,Goods-producing,,,21
212210,Iron ore mining,"Mining, quarrying, and oil and gas extraction",Natural resources and mining,Goods-producing,1011,Iron Ores,21
21222,Gold ore and silver ore mining,"Mining, quarrying, and oil and gas extraction",Natural resources and mining,Goods-producing,,,21
212221,Gold ore mining,"Mining, quarrying, and oil and gas extraction",Natural resources and mining,Goods-producing,1041,Gold Ores,21
212222,Silver ore mining,"Mining, quarrying, and oil and gas extraction",Natural resources and mining,Goods-producing,1044,Silver Ores,21
21223,"Copper, nickel, lead, and zinc mining","Mining, quarrying, and oil and gas extraction",Natural resources and mining,Goods-producing,,,21
212230,"Copper, nickel, lead, and zinc mining","Mining, quarrying, and oil and gas extraction",Natural resources and mining,Goods-producing,1021,Copper Ores,21
